time,temperature,humidity,ph,ec
2025-05-01 5:00:00,21.170 ,48.110 ,6.610 ,1.070 
2025-05-01 6:00:00,20.830 ,47.730 ,6.630 ,1.210 
2025-05-01 7:00:00,22.060 ,54.480 ,6.670 ,1.060 
2025-05-01 8:00:00,22.790 ,52.950 ,6.700 ,1.250 
2025-05-01 9:00:00,22.990 ,52.040 ,6.740 ,1.090 
2025-05-01 10:00:00,23.000 ,50.160 ,6.780 ,1.050 
2025-05-01 11:00:00,23.210 ,49.070 ,6.820 ,1.130 
2025-05-01 12:00:00,23.200 ,52.620 ,6.930 ,0.980 
2025-05-01 13:00:00,23.330 ,49.290 ,6.980 ,0.950 
2025-05-01 14:00:00,23.300 ,55.530 ,7.000 ,1.010 
2025-05-01 15:00:00,23.480 ,52.420 ,7.030 ,0.900 
2025-05-01 16:00:00,23.330 ,52.000 ,7.070 ,1.020 
2025-05-01 17:00:00,23.270 ,49.180 ,7.110 ,0.940 
2025-05-01 18:00:00,23.380 ,50.030 ,7.150 ,0.910 
2025-05-01 19:00:00,23.470 ,49.680 ,7.180 ,0.890 
2025-05-01 20:00:00,23.240 ,52.790 ,7.210 ,0.880 
2025-05-01 21:00:00,22.480 ,52.970 ,7.230 ,0.890 
2025-05-01 22:00:00,21.820 ,50.080 ,7.240 ,0.890 
2025-05-01 23:00:00,21.668 ,50.230 ,7.254 ,0.880 
2025-05-02 0:00:00,21.515 ,50.380 ,7.268 ,0.870 
2025-05-02 1:00:00,21.363 ,50.530 ,7.282 ,0.860 
2025-05-02 2:00:00,21.210 ,50.680 ,7.296 ,0.850 
2025-05-02 3:00:00,21.058 ,50.830 ,7.310 ,0.840 
2025-05-02 4:00:00,20.905 ,50.980 ,7.315 ,0.795 
2025-05-02 5:00:00,20.753 ,51.130 ,7.320 ,0.750 
2025-05-02 6:00:00,20.600 ,51.280 ,7.340 ,0.840 
2025-05-02 7:00:00,20.800 ,52.340 ,7.350 ,0.800 
2025-05-02 8:00:00,23.000 ,54.350 ,7.380 ,0.750 
2025-05-02 9:00:00,23.540 ,53.530 ,7.410 ,0.820 
