time,temperature,humidity,ec,ph
2025.05.26 13:00:00,20,56.6,4.87,5.83
2025.05.26 14:00:00,20,63.2,4.87,5.83
2025.05.26 15:00:00,19.8,65.6,4.87,5.83
2025.05.26 16:00:00,19,63.4,4.87,5.83
2025.05.26 17:00:00,19,60.2,4.87,5.83
2025.05.26 18:00:00,19,56.8,4.87,5.83
2025.05.26 19:00:00,19,60.7,4.87,5.83
2025.05.26 20:00:00,18.2,68.5,4.87,5.83
2025.05.26 21:00:00,17.7,72.6,4.87,5.83
2025.05.26 22:00:00,18,72.9,4.87,5.83
2025.05.26 23:00:00,18,72.1,4.87,5.83
2025.05.27 00:00:00,18,70.3,4.87,5.83
2025.05.27 01:00:00,18,67.5,4.87,5.83
2025.05.27 02:00:00,18,67.1,4.87,5.83
2025.05.27 03:00:00,17.5,67.7,4.87,5.83
2025.05.27 04:00:00,17,67,4.87,5.83
2025.05.27 05:00:00,17,68,4.87,5.83
2025.05.27 06:00:00,17.6,67.8,4.87,5.83
2025.05.27 07:00:00,18,68.4,4.87,5.83
2025.05.27 08:00:00,18.7,65.6,4.87,5.83
2025.05.27 09:00:00,20,61.5,4.87,5.83
2025.05.27 10:00:00,20,59.1,4.87,5.83
2025.05.27 11:00:00,20,59.5,4.87,5.83
2025.05.27 12:00:00,20,62.8,4.87,5.83
2025.05.27 13:00:00,20,63.3,4.87,5.83
2025.05.27 14:00:00,20,63,4.87,5.83
2025.05.27 15:00:00,20,65.9,4.87,5.83
2025.05.27 16:00:00,20,65.4,4.87,5.83
2025.05.27 17:00:00,20,63.5,4.87,5.83
2025.05.27 18:00:00,19.1,64.6,4.92,6.34
2025.05.27 19:00:00,19,67.6,4.92,6.34
2025.05.27 20:00:00,18.1,73.1,4.92,6.34
2025.05.27 21:00:00,18,76.3,4.92,6.34
2025.05.27 22:00:00,17.9,72.8,4.92,6.34
2025.05.27 23:00:00,17.9,74.6,4.92,6.34
2025.05.28 00:00:00,17.8,74.3,4.92,6.34
2025.05.28 01:00:00,17.8,74.5,4.92,6.34
2025.05.28 02:00:00,17.8,74.5,4.92,6.34
2025.05.28 03:00:00,17.7,74.9,4.92,6.34
2025.05.28 04:00:00,18,74.2,4.92,6.34
2025.05.28 05:00:00,18,73.7,4.92,6.34
2025.05.28 06:00:00,18,74.3,4.92,6.34
2025.05.28 07:00:00,18,75.9,4.92,6.34
2025.05.28 08:00:00,18,76,4.92,6.34
2025.05.28 09:00:00,18,73.5,4.95,5.18
2025.05.28 10:00:00,18.6,73.4,4.95,5.18
2025.05.28 11:00:00,19.9,70.4,4.95,5.18
2025.05.28 12:00:00,20,66,4.95,5.18
2025.05.28 13:00:00,20,63.7,4.95,5.18
2025.05.28 14:00:00,20,63.7,4.95,5.18
2025.05.28 15:00:00,20,66.8,4.95,5.18
2025.05.28 16:00:00,20,65.8,4.95,5.18
2025.05.28 17:00:00,19.4,65.1,4.95,5.18
2025.05.28 18:00:00,19,65.5,4.95,5.18
2025.05.28 19:00:00,19,65.4,4.95,5.18
2025.05.28 20:00:00,19,67.9,4.95,5.18
2025.05.28 21:00:00,18.1,71.1,4.95,5.18
2025.05.28 22:00:00,18,72.1,4.95,5.18
2025.05.28 23:00:00,17.8,71.7,4.95,5.18
2025.05.29 00:00:00,17.8,71.6,4.95,5.18
2025.05.29 01:00:00,17.9,72.1,4.95,5.18
2025.05.29 02:00:00,18,71.6,4.95,5.18
2025.05.29 03:00:00,17.4,72.6,4.95,5.18
2025.05.29 04:00:00,18,72,4.95,5.18
2025.05.29 05:00:00,18,72,4.95,5.18
2025.05.29 06:00:00,18,72.3,4.95,5.18
2025.05.29 07:00:00,18,73.1,4.95,5.18
2025.05.29 08:00:00,18.9,70,4.95,5.18
2025.05.29 09:00:00,20,63.2,6.78,6.35
2025.05.29 10:00:00,20,59.8,6.78,6.35
2025.05.29 11:00:00,20,59.9,6.78,6.35
2025.05.29 12:00:00,20,59.7,6.78,6.35
2025.05.29 13:00:00,20,62.8,8.4,5.91
2025.05.29 14:00:00,20,62.6,8.4,5.91
2025.05.29 15:00:00,20,63.8,8.4,5.91
2025.05.29 16:00:00,20,64.7,8.4,5.91
2025.05.29 17:00:00,20,65.4,8.4,5.91
2025.05.29 18:00:00,19.7,64.9,8.5,6.19
2025.05.29 19:00:00,19.4,63.8,8.5,6.19
2025.05.29 20:00:00,19.2,59.5,8.5,6.19
