time,temperature,humidity,ph,ec
2025-06-01 00:00:00,15.600 ,51.095 ,6.279 ,4.060 
2025-06-01 00:05:00,15.040 ,45.785 ,6.272 ,4.073 
2025-06-01 00:10:00,14.772 ,45.560 ,6.284 ,4.069 
2025-06-01 00:15:00,14.653 ,45.683 ,6.284 ,4.067 
2025-06-01 00:20:00,14.523 ,45.342 ,6.272 ,4.048 
2025-06-01 00:25:00,14.397 ,45.707 ,6.274 ,4.061 
2025-06-01 00:30:00,14.293 ,45.638 ,6.281 ,4.067 
2025-06-01 00:35:00,14.208 ,45.510 ,6.283 ,4.066 
2025-06-01 00:40:00,14.465 ,48.955 ,6.279 ,4.070 
2025-06-01 00:45:00,15.793 ,60.142 ,6.281 ,4.065 
2025-06-01 00:50:00,15.380 ,47.417 ,6.275 ,4.071 
2025-06-01 00:55:00,15.008 ,45.408 ,6.275 ,4.068 
2025-06-01 01:00:00,14.785 ,46.205 ,6.276 ,4.070 
2025-06-01 01:05:00,14.608 ,45.178 ,6.277 ,4.066 
2025-06-01 01:10:00,14.455 ,45.377 ,6.282 ,4.063 
2025-06-01 01:15:00,14.353 ,44.758 ,6.274 ,4.064 
2025-06-01 01:20:00,14.237 ,45.282 ,6.274 ,4.074 
2025-06-01 01:25:00,14.177 ,44.973 ,6.272 ,4.069 
2025-06-01 01:30:00,15.053 ,57.367 ,6.273 ,4.078 
2025-06-01 01:35:00,15.720 ,54.797 ,6.277 ,4.077 
2025-06-01 01:40:00,15.123 ,45.787 ,6.271 ,4.078 
2025-06-01 01:45:00,14.840 ,45.325 ,6.270 ,4.072 
2025-06-01 01:50:00,14.675 ,45.762 ,6.261 ,4.077 
2025-06-01 01:55:00,14.575 ,45.343 ,6.271 ,4.077 
2025-06-01 02:00:00,14.418 ,46.252 ,6.265 ,4.070 
2025-06-01 02:05:00,14.312 ,45.217 ,6.274 ,4.078 
2025-06-01 02:10:00,14.250 ,45.508 ,6.276 ,4.078 
2025-06-01 02:15:00,14.287 ,46.512 ,6.269 ,4.072 
2025-06-01 02:20:00,15.648 ,61.212 ,6.265 ,4.074 
2025-06-01 02:25:00,15.467 ,48.192 ,6.259 ,4.086 
2025-06-01 02:30:00,14.993 ,45.340 ,6.261 ,4.076 
2025-06-01 02:35:00,14.708 ,44.932 ,6.272 ,4.078 
2025-06-01 02:40:00,14.528 ,44.247 ,6.267 ,4.084 
2025-06-01 02:45:00,14.373 ,44.173 ,6.272 ,4.080 
2025-06-01 02:50:00,14.242 ,44.698 ,6.263 ,4.072 
2025-06-01 02:55:00,15.423 ,59.503 ,6.265 ,4.084 
2025-06-01 03:00:00,15.608 ,50.542 ,6.261 ,4.081 
2025-06-01 03:05:00,15.048 ,45.475 ,6.259 ,4.081 
2025-06-01 03:10:00,14.782 ,44.682 ,6.267 ,4.092 
2025-06-01 03:15:00,14.595 ,44.975 ,6.264 ,4.078 
2025-06-01 03:20:00,14.433 ,44.270 ,6.256 ,4.086 
2025-06-01 03:25:00,14.280 ,44.843 ,6.259 ,4.093 
2025-06-01 03:30:00,14.123 ,44.562 ,6.265 ,4.092 
2025-06-01 03:35:00,14.752 ,53.655 ,6.254 ,4.088 
2025-06-01 03:40:00,15.778 ,56.943 ,6.257 ,4.084 
2025-06-01 03:45:00,15.178 ,46.055 ,6.254 ,4.088 
2025-06-01 03:50:00,14.897 ,45.405 ,6.262 ,4.091 
2025-06-01 03:55:00,14.682 ,45.622 ,6.261 ,4.089 
2025-06-01 04:00:00,14.592 ,45.933 ,6.255 ,4.085 
2025-06-01 04:05:00,14.407 ,45.367 ,6.264 ,4.089 
2025-06-01 04:10:00,14.287 ,45.275 ,6.265 ,4.097 
2025-06-01 04:15:00,14.198 ,44.827 ,6.260 ,4.082 
2025-06-01 04:20:00,14.157 ,46.147 ,6.255 ,4.083 
2025-06-01 04:25:00,15.468 ,60.675 ,6.257 ,4.095 
2025-06-01 04:30:00,15.608 ,50.565 ,6.254 ,4.102 
2025-06-01 04:35:00,15.083 ,46.223 ,6.257 ,4.095 
2025-06-01 04:40:00,14.852 ,45.148 ,6.254 ,4.096 
2025-06-01 04:45:00,14.685 ,45.603 ,6.249 ,4.088 
2025-06-01 04:50:00,14.537 ,45.135 ,6.258 ,4.105 
2025-06-01 04:55:00,14.388 ,45.410 ,6.251 ,4.094 
2025-06-01 05:00:00,14.305 ,45.963 ,6.255 ,4.092 
2025-06-01 05:05:00,14.197 ,45.302 ,6.249 ,4.099 
2025-06-01 05:10:00,14.427 ,49.008 ,6.253 ,4.099 
2025-06-01 05:15:00,15.763 ,59.402 ,6.252 ,4.105 
2025-06-01 05:20:00,15.363 ,46.700 ,6.246 ,4.100 
2025-06-01 05:25:00,14.970 ,45.742 ,6.253 ,4.093 
2025-06-01 05:30:00,14.727 ,45.640 ,6.256 ,4.091 
2025-06-01 05:35:00,14.552 ,45.752 ,6.247 ,4.107 
2025-06-01 05:40:00,14.438 ,44.868 ,6.252 ,4.095 
2025-06-01 05:45:00,14.313 ,45.383 ,6.246 ,4.099 
2025-06-01 05:50:00,14.235 ,44.802 ,6.251 ,4.097 
2025-06-01 05:55:00,14.170 ,45.125 ,6.246 ,4.098 
2025-06-01 06:00:00,15.100 ,57.368 ,6.248 ,4.115 
2025-06-01 06:05:00,16.485 ,66.612 ,6.243 ,4.105 
2025-06-01 06:10:00,17.413 ,69.148 ,6.248 ,4.102 
2025-06-01 06:15:00,18.180 ,69.850 ,6.237 ,4.106 
2025-06-01 06:20:00,18.867 ,69.757 ,6.240 ,4.109 
2025-06-01 06:25:00,19.473 ,68.110 ,6.244 ,4.110 
2025-06-01 06:30:00,19.990 ,67.163 ,6.241 ,4.113 
2025-06-01 06:35:00,20.463 ,66.418 ,6.240 ,4.108 
2025-06-01 06:40:00,20.817 ,63.517 ,6.239 ,4.112 
2025-06-01 06:45:00,20.093 ,49.415 ,6.239 ,4.105 
2025-06-01 06:50:00,20.732 ,60.063 ,6.236 ,4.101 
2025-06-01 06:55:00,20.267 ,50.568 ,6.232 ,4.109 
2025-06-01 07:00:00,20.553 ,57.752 ,6.229 ,4.099 
2025-06-01 07:05:00,20.400 ,52.783 ,6.227 ,4.105 
2025-06-01 07:10:00,20.592 ,55.572 ,6.228 ,4.097 
2025-06-01 07:15:00,20.405 ,51.593 ,6.229 ,4.099 
2025-06-01 07:20:00,20.655 ,56.182 ,6.220 ,4.099 
2025-06-01 07:25:00,20.455 ,50.845 ,6.222 ,4.103 
2025-06-01 07:30:00,20.600 ,54.970 ,6.224 ,4.097 
2025-06-01 07:35:00,20.365 ,50.310 ,6.215 ,4.100 
2025-06-01 07:40:00,20.618 ,54.880 ,6.217 ,4.100 
2025-06-01 07:45:00,20.445 ,50.045 ,6.219 ,4.100 
2025-06-01 07:50:00,20.602 ,54.588 ,6.215 ,4.092 
2025-06-01 07:55:00,20.515 ,50.328 ,6.219 ,4.100 
2025-06-01 08:00:00,20.602 ,53.342 ,6.215 ,4.096 
2025-06-01 08:05:00,20.337 ,49.168 ,6.207 ,4.108 
2025-06-01 08:10:00,20.652 ,53.855 ,6.221 ,4.102 
2025-06-01 08:15:00,20.377 ,48.860 ,6.212 ,4.106 
2025-06-01 08:20:00,20.667 ,53.813 ,6.208 ,4.100 
2025-06-01 08:25:00,20.387 ,49.033 ,6.213 ,4.100 
2025-06-01 08:30:00,20.643 ,53.148 ,6.212 ,4.102 
2025-06-01 08:35:00,20.315 ,48.375 ,6.208 ,4.103 
2025-06-01 08:40:00,20.675 ,53.148 ,6.208 ,4.108 
2025-06-01 08:45:00,20.373 ,48.708 ,6.201 ,4.099 
2025-06-01 08:50:00,20.650 ,53.453 ,6.213 ,4.097 
2025-06-01 08:55:00,20.427 ,48.715 ,6.205 ,4.102 
2025-06-01 09:00:00,20.630 ,52.433 ,6.200 ,4.106 
2025-06-01 09:05:00,20.308 ,47.963 ,6.202 ,4.101 
2025-06-01 09:10:00,20.650 ,52.785 ,6.204 ,4.104 
2025-06-01 09:15:00,20.385 ,48.447 ,6.208 ,4.102 
2025-06-01 09:20:00,20.655 ,52.872 ,6.200 ,4.107 
2025-06-01 09:25:00,20.378 ,48.260 ,6.202 ,4.106 
2025-06-01 09:30:00,20.652 ,52.547 ,6.201 ,4.110 
2025-06-01 09:35:00,20.352 ,48.375 ,6.203 ,4.109 
